Artistas;Generos;Estados de Animos;Canciones
Miley Cyrus;Pop;Nostalgia;Climb
Maroon5;Pop;Nostalgia;Payphone
El David;Folk;Triste;Que bonito fue
Girl in red;Pop;Romance;We fell in love in october
Voz de Mando;Ranchera;Despechado;Ahora resulta
BTS;K-Pop;Feliz;Butter
BTS;K-pop;Triste;Film Out
NCT DREAM;K-pop;Animado;Hot Sauce
NCT U;K-pop;Animado;Make a Wish
Day6;K-pop;Romance;OUCH
TXT;K-pop;Animado;Blue Hour
BTS;K-pop;Nostalgia;Life Goes On
Humbe;Pop;Alegre;El poeta
Juan Luis Guerra;Latino;Nostalgia;Frio Frio
Selena;Latino;Alegre;Amor Prohibido
Luis Miguel;Latino;Despechado;Ahora te puedes marchar
Camila;Latino;Despechado;Mientes
Cody Fry;Balada;Romance;I Hear a Sympony
Steven Universe;Pop;Romance;Love like you
MAX, SUGA;Pop;Romance;Blueberry Eyes
Veganboys;Electro;Animado;BOOM,BOOM,BOOM,BOOM!!!!
Aerosmith;Rock;Animado;Sweet Emotion
Queen;Rock;Romantico;Love of my life
OneRepublic;Pop;Motivado;Counting Stars
Sam Smith;Pop;Triste;Too Good At Goodbyes
Shawn Mendes;Pop;Despechado;Treat You Better
Bob Marley;Reggae;Animado;Is This Love
Tiera;Country;Romantico;Found It in You
Ed Sheeran;Pop;Triste;Afterglow
Billie Eilish;Pop;Triste;Everything i wanted
Lewis Capaldi;Pop;Triste;Someone You Loved
David Guetta;Electronica;Animado;Memories
White Spirit;Electronica;Animado;Level Up
Erik Satie;Clasica;Reflexivo;Gnossienne No.1
Maná;Rock;Animado;En El Muelle de San Blas
Hombres G;Rock;Romantico;Te quiero
Los Enanitos Verdes;Rock;Animado;Lamento Boliviano
Salvapantallas;Indie;Triste;Mil Mensajes
Sleepy Hallow;Hip-Hop;Motivado;Deel End Freestyle
Kid Ink;Hip-Hop;Motivado;Champion
REASON;Hip-Hop;Motivado;Show Stop
Halsey;Indie;Relajado;Drive
State Champs;Pop-Rock;Romantico;If I'm Lucky
Maroon 5;Pop;Motivado;Animals
Blanks;Alternative;Relajado;Seaside
Blink-182;Rock;Triste;Hey I'm Sorry
A Rocket to the Moon;Indie;Despechado;Like We Used To
AJR;Pop;Motivado ;Weak
Christian Nodal;Balada/Banda;Despechado;Adios Amor
AJR;Electronica;Arrepentido;Turning Out Pt.II
BANNERS;Indie;Romantico;Someone to You
Eminen;Hip-Hop;Reflexivo;When I'm Gone
Powfu;Hip-Hop;Triste;Death Bed
Jason Mraz;Pop;Feliz;I'm Yours
Ed Sheeran;Pop;Romantico;Hearts Don't Around Here
Kenny Loggins;Rock;Bailarin;Footloose
Dua Lipa;Pop;Animado;Don't Star Now
Rex Orange County;Indie;Feliz;Never Had the Balls
Sebastian Yatra;Urbano;Animado;Pareja del Año
Twenty-One Pilots;Rock;Reflexivo;Car Radio
Rex Orange County;Pop;Romantico;Best Friend
